periode_data,id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
202007,3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,116,4,2,1,109,0,0,0,0,2,0,2,155,8
202007,3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,92,3,1,1,87,0,0,0,0,2,1,1,136,13
202007,3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,52,6,2,2,42,0,0,0,0,2,0,2,100,28
202007,3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,134,9,14,2,109,0,0,0,0,5,2,3,164,26
202007,3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,264,6,2,1,255,1,0,0,1,5,0,5,262,23
202007,3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,84,11,1,1,71,0,0,0,0,4,0,4,231,26
202007,3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,123,4,1,2,116,0,0,0,0,2,0,2,242,95
202007,3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,172,8,2,4,158,0,0,0,0,2,0,2,311,26
202007,3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,127,7,1,3,116,0,0,0,0,2,0,2,296,23
202007,3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,17,0,2,0,15,0,0,0,0,3,0,3,85,4
202007,3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,92,4,1,4,83,0,0,0,0,22,4,18,357,55
202007,3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,142,0,1,2,139,0,0,0,0,4,0,4,348,93
202007,3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,242,7,31,1,203,0,0,0,0,0,0,0,203,43
202007,3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,60,1,0,0,59,0,0,0,0,0,0,0,88,5
202007,3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,87,1,0,4,82,0,0,0,0,4,1,3,168,14
202007,3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,194,5,1,3,185,0,0,0,0,3,0,3,624,40
202007,3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,108,10,2,0,96,0,0,0,0,3,0,3,167,14
202007,3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,96,10,2,5,79,0,0,0,0,1,0,1,166,39
202007,3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,144,8,1,3,132,0,0,0,0,5,0,5,215,14
202007,3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,353,8,17,4,324,0,0,0,0,5,0,5,1086,80
202007,3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,168,12,2,0,154,0,0,0,0,1,0,1,119,22
202007,3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,133,1,6,3,123,0,0,0,0,0,0,0,277,27
202007,3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,14,0,0,0,14,0,0,0,0,4,0,4,29,3
202007,3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,65,6,1,2,56,0,0,0,0,1,0,1,99,1
202007,3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,39,5,0,4,30,0,0,0,0,3,0,3,66,8
202007,3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,97,5,0,0,92,1,0,0,1,0,0,0,260,9
202007,3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,194,8,1,1,184,0,0,0,0,7,0,7,449,55
202007,3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,142,4,7,16,115,0,0,0,0,3,0,3,338,27
202007,3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,52,3,0,0,49,0,0,0,0,7,0,7,96,11
202007,3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,213,16,3,4,190,1,0,1,0,3,1,2,403,28
202007,3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,51,2,0,0,49,0,0,0,0,8,0,8,137,7
202007,3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,77,3,0,1,73,0,0,0,0,19,3,16,152,26
202007,3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,39,0,0,1,38,0,0,0,0,3,0,3,40,6
202007,3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,82,6,11,0,65,0,0,0,0,7,0,7,129,4
202007,3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,161,8,1,1,151,0,0,0,0,0,0,0,268,32
202007,3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,102,1,1,0,100,1,0,0,1,0,0,0,274,14
202007,3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,155,6,0,4,145,0,0,0,0,10,0,10,375,55
202007,3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,55,3,9,0,43,0,0,0,0,0,0,0,118,22
202007,3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,120,8,1,1,110,0,0,0,0,0,0,0,152,28
202007,3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,140,4,4,0,132,1,0,0,1,1,0,1,415,23
202007,3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,108,4,0,1,103,0,0,0,0,15,0,15,235,18
202007,3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,82,3,1,2,76,0,0,0,0,15,0,15,266,14
202007,3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,165,12,13,1,139,0,0,0,0,10,3,7,328,42
